artist,title,lyrics
Exodus,Honor Killings,"Culture of honor, culture of shame
Imprisoned by the burqa
Her innocence to blame
Sharia law and the almighty Allah
Rule with the whip in hand
Divine decree alliance against women
Throughout the holy land

Buried alive, burned, mutilated
Dragged through the streets
Decapitated, decapitated, decapitated
Beg for mercy with no avail
Muslim teachings must prevail

Judge and jury with zero degree of moral culpability
Death by lapidation
The law of Islam nation

Father slays daughter
A husband his wife
A mother is killed by her son
Cut from the womb
Bastard infant is strangled
A page from the holy Quran
Honor killers, moral vigilantes
Wipe away the stain of shame
To protect the family honor
And restore the family name

Buried alive, burned, mutilated
Dragged through the streets
Decapitated, decapitated, decapitated
Beg for mercy with no avail
Muslim teachings must prevail

Judge and jury with zero degree of moral culpability
Death by lapidation
The law of Islam nation

Heed obey! Get on your knees and pray
Heed obey! Five times a day
Heed obey! Get on your knees and pray
Heed obey! Five times a day
We put thee on the path, so follow it
And follow not the whims of those who know not
Heed obey! Get on your knees and pray
Heed obey! A tortured body on display

Segregation discrimination female genital mutilation
Subordination banned from education
Actions and sayings of the first three generations
Forced into marriage against her own will
Dowry and bride price to seal the deal
Left to rot in solitude
Suicide is the only substitute

Buried alive burned mutilated
Dragged through the streets
Decapitated
Beaten tortured ostracized accused of being westernized

Judge and jury with zero degree of moral culpability
Death by lapidation
The law of Islam nation

Judge and jury with zero degree of moral culpability
Death by lapidation
The law of Islam nation"
Exodus,Wrapped in the Arms of Rage,"My angel in anger, keep me drunk with wrath
Hatred, my light upon my chosen path
No concern about the aftermath
No trepidation
The binds are broken, hold me back no more
Twisted fantasies I shall soon explore
Black angel walk with me forevermore
Begin my transformation

Divinity of death divine
Mercy withers on the vine
Pulse rushes, I'm set free from my cage
I no longer walk alone
Make her animosity my own
Crushing embrace
I'm wrapped in the arms of rage

Agitation is my patron lord
Miscreant seraphim of all abhorred
Her admiration is my just reward
My coronation
Delirium through her sweet caress
Heed her words, I never second-guess
Symphony of malice played at my request
Her proclamation

Divinity of death divine
Mercy withers on the vine
Pulse rushes, I'm set free from my cage
I no longer walk alone
Make her animosity my own
Crushing embrace
I'm wrapped in the arms of rage"
Exodus,Exodus,"It starts with life, a way to live
I love the sound of pain
The more it hurts the better I feel
The world will fall insane
It comes to me late late at night
When I feel like being cruel
Whip out the chains and get the knife
And slay some innocent fool

[Chorus]
Get in our way and we're going to take your life
Kick in your face and rape and murder your wife
Plunder your town your homes they'll burn to the ground
You won't hear a sound until my knife's in your back
The exodus attack

The filthy sound of death and pain
Brings pleasure that I need
The rotting hide the burning flesh
The smell and I agree
Bloody corpse makes me feel great
Painkiller in my life
Cut bare flesh to the bone
Use a rusty knife

[Chorus]

Buzzards eat as well as worms
Nature's death machines
Pin you on the desert floor
Now you're Hell's cuisine
I tell you all it's the way to live
Get stronger on death glory
Infringing on sacrificial rites
Death's your final story

[Chorus]"
Exodus,No Love,"Come into my home
Black master rules the night
See the power start to surge
Upon a hellish sight
It's time to raise them up
Up from below the grave
White bones glow savagery
Provide the light we crave

[Chorus]
Turn to look at Baphomet
From below and not above
Welcome to my sacrifice
Tonight there'll be no love

The darkness is my lover
She makes he feel strong
Take what I want, when I want
At night I do no wrong
When I walk the streets
Got Loki on my side
Slit your throat, drink your blood
Who cares when others die

[Chorus]

You thought you'd live for oh 50 long
Now it's your turn to die
Live with Satan down in Hell
Born to forever cry
Took your life I don't feel bad
Born to live in hell
Died for nothing, slow decay
Your body starts to smell"
Exodus,Parasite,"A distant hum
Cuts right through the skies
Calling my attention I look up
I can't believe my eyes
Thousands and thousands
Hungry for our minds
They're biting, eating and controlling
Anything they find

Coming down from behind
They've got no care for our kind
See the world bending down
On it's knees

[Chorus]
Run-but you can't hide
Blood-coming from inside
My mind-doesn't know wrong from right
Parasite!

A million more
Coming after me
They thrive on insecticide
They live on DDT
No poison can defeat
The never ending swarm
They'll eat you from inside out
You'll wish you were never born

Coming down from behind
They've got no care for our kind
See the world bending down
On it's knees

[Chorus]

Run-but you can't hide
Blood-sucked from inside
My mind-doesn't know wrong from right
Parasite!

Now they're living in my brain
I'm destroying at their cue
A violent reaction starts within
And now I'm after you!
I'll grab you by your head
And split your skull open wide
The infestation in complete
You're dead but yet alive!

Coming down from behind
They've got no care for our kind
See the world bending down
On it's knees

[Chorus]"
Exodus,Brain Dead,"Your body lies without a twitch-can't move
Feeling gone, nothing to say or do
Still alive but you can't think or see
You're looking like a vegetable to me

The darkness lives forever
Within your mind

Time rolls by and you never paid the cost
Without your mind your body-it's lost
Should we help to keep you alive?
Now's the time to help you
Die!

The darkness lives forever
Within your mind
No dreams, no thoughts it's only
Endless time

[Repeat x 12]
Brain dead"
Exodus,Low Rider (War Cover),"All my friends
Own a low rider
Low rider
Is a little higher

Low rider
Drives a little slower
Low rider
Is a little lower

Low rider
Don't use no gas now
Low rider
Don't drive too fast

Take a little trip and see
Take a little trip with me"
Exodus,Overdose (AC/DC Cover),"I never smoked with no cigarettes
I never drank much booze
But I'm only a man, don't you understand
And a man can sometimes lose
You gave me something I never had
Pulled me down with you
Pulled me up, think I'm in love
Hope you can pull me through

I overdosed on you
I overdosed on you
Crazy but it's true
Ain't nothing I can do
I overdosed on you

Oh woman you give to me
More than I can take
But listen honey, I don't mind
You're a habit I don't want to break
Don't want none of that hard stuff
Don't need it anymore
I'm in love, and I'm sinking fast
And I don't need no cure

Gee I was happy as a man could be
To far gone to escape
Power of love, don't pull me off
Just write on my grave:"
Exodus,Salt the Wound,"When I take your flesh and lacerate you
Exposing all your hate
There's nothing left but lies to throw away

Eviscerate you
Reduce you to your fate
Deleted and erased all your decay

When I think of all the hell
You tried to put me through
It can't compare to what's already done
It's time to say farewell
And leave you black and blue
When I rip you open all I'll do
Is salt the wound

The bane of my existence cancerous
A tumor on my soul
Unnecessary wart upon my skin

Full of puss
You're a Judas and a troll
Lance the boil rooted deep within

When I think of all the hell
You tried to put me through
It can't compare to what's already done
It's time to say farewell
And leave you black and blue
When I rip you open all I'll do
Is salt the wound

Rest assured when I pollute you
Your disease I will correct
My contagion
Only now I know the source

I uproot you
Lance the boil disinfect
Pestilence of ruin's run its course

When I think of all the hell
You tried to put me through
It can't compare to what's already done
It's time to say farewell
And leave you black and blue
When I rip you open all I'll do
Is salt the wound"
Exodus,Cutlass,"I hopped in the Cutlass
I hopped out a bucket
I pop like I pulled out my weight in some luggage
These hoes steady buggin'
My phone steady buzzin'
I think it's the plug finna drop off a dozen
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing
I hopped in the Cutlass
I hopped out a bucket
I pop like I pulled out my weight in some luggage
These hoes steady buggin'
My phone steady buzzin'
I think it's the plug finna drop off a dozen
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing

Right off the back all these niggas be fronting
Now I got money they can't tell me nothing
Get that gut feeling you know that they coming
You ain't got no paper ain't even worth running
Hoped out the cutlass and hopped in the bucket
Run in your mouth you'll get popped in your nugget
You had the ball then you dropped it then f*ck it
I open up shop on the block and I crush it
Don't let yourself be the next kiss opponent
No I ain't driving but yeah bitch I own it
Usually niggas get caught in the moment
I showed them a style and they just went and cloned it
Whole ones half ones even zips moving
We ain't even gonna talk about the bricks moving
Rock a gold sky dweller and a thick Cuban
Gave away more hits than Rick Rubin
Hard times come you just gotta get through 'em
These lil niggas got a lotta shit brewing
Feds get involved then alotta shit ruined
Used to spit at niggas now I spit through 'em
I don't wash clothes nigga I just get new ones
Real boss niggas it be hard to get to 'em
Yeah real low on the suckers
I walked out the trap house and hopped in the Cutlass

I hopped in the Cutlass
I hopped out a bucket
I pop like I pulled out my weight in some luggage
These hoes steady buggin'
My phone steady buzzin'
I think it's the plug finna drop off a dozen
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing
I hopped in the Cutlass
I hopped out a bucket
I pop like I pulled out my weight in some luggage
These hoes steady buggin'
My phone steady buzzin'
I think it's the plug finna drop off a dozen
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing

Where I'm from ain't nothing but survival
Before niggas pray the gonna pick up that rifle
Before niggas sleep they gonna camp out and snipe you
Wipe you off the face of the earth your face on a shirt
Ive been through in that phantom fly back to the place that I'm from
But not happy with that they took my brother the government kidnap and shit
I ain't just talking I ain't just rapping said it really happened
That's why I get on shit that you with and I vomit
I don't give a f*ck you know how Exo coming
It's beef I'm at you and I might be atacha woman
I make it look like you put time in for nothing
Don't make no sudden movements around me I'm clutching
These niggas haven't seen the money I'm touching
I even put their hands on cars that I'm pushing
But I ain't jumping for a nigga

I hopped in the Cutlass
I hopped out a bucket
I pop like I pulled out my weight in some luggage
These hoes steady buggin'
My phone steady buzzin'
I think it's the plug finna drop off a dozen
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing
I hopped in the Cutlass
I hopped out a bucket
I pop like I pulled out my weight in some luggage
These hoes steady buggin'
My phone steady buzzin'
I think it's the plug finna drop off a dozen
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing
Now I got money they can't tell me nothing"
Exodus,Black 13,"Darkness, your surest bet
Wage of sin and blood roulette
Laying the odds against your gods
High stakes and no regret
No parlay in this game of hell
Lose your soul, they sound the knell
Nothing ventured nothing gained
The cards foretell

The stakes unclean
Through black 13
Whenever you decide
You're gonna let it ride

Salvation, a game of chance
Roll of the dice, the devil's dance
Speculate and tempt your fate
Life paid in advance
Double down and pull one more
Even money you even the score
Can't renege you pay the vig
You're spoken for

The stakes unclean
Through black 13
Whenever you decide
You're gonna let it ride

Eternity on the money line
Cloven one pulls three of a kind
You bet the spread and end up dead
Too late to change your mind
You went all in, didn't hedge your bets
Dark bookmaker collects all debts
Death begets the devil's hand
The wheel resets

The stakes unclean
Through black 13
Whenever you decide
You're gonna let it ride"
Exodus,Blood in Blood Out,"We're throwing down the gauntlet
Chomping at the bit about to lay down the law
Show you all the way
Bare witness to genesis
Of the violence the way it was back in the day.
We've been here from the start with a one track mind,
We kept the hate alive.
Always had the power, now is zero hour,
Tonight we're gonna fight like it's 1985.

Blood in, blood out,
All I'm telling you is do anything you wanna do
Blood in, blood out,
This is a ****ing dynasty of trash notoriety.
Dive in or bow out,
If you have the pedigree, welcome to the family.
All in or all out,
Half way, no way. Give it all you've got!
We wrote the book, so you better know the plot
New breed, old creed
Let's see what you brought.
This shit has turned into a rout
Blood in, blood out.

Stand tall, show you've got no backbone.
Welcome all who never took more than gave
Punish all deceptions, no exceptions
Fortune always favors the brave
Bring your anger,
Bring the mayhem,
Anything you do is allowed.
You're the kings of pit insanity
Tonight we're gonna rage and make Paul Baloff proud.

Blood in, blood out,
All I'm telling you is do anything you wanna do
Blood in, blood out,
This is a ****ing dynasty of trash notoriety.
Dive in or bow out,
If you have the pedigree, welcome to the family.
All in or all out,
Half way, no way. Give it all you've got!
We wrote the book, so you better know the plot
New breed, old creed
Let's see what you brought.
This shit has turned into a rout
Blood in, blood out.

We're bringing down the thunder
Bottling the light, battering the way
Burning down the place
Our one stance, zero tolerance
Time to cut to the chase
We expect nothing less than a full scale riot
Give everything that you've got
Put an end to the peace and quiet
Let's start the pit that time forgot.

Blood in, blood out,
All I'm telling you is do anything you wanna do
Blood in, blood out,
This is a ****ing dynasty of trash notoriety.
Dive in or bow out,
If you have the pedigree, welcome to the family.
All in or all out,
Half way, no way. Give it all you've got!
We wrote the book, so you better know the plot
New breed, old creed
Let's see what you brought.
This shit has turned into a rout
Blood in, blood out."
