	artist	lyrics
0	A Flock of Seagulls	"I walk along the avenue
I never thought I'd meet a girl like you
Meet a girl like you

With auburn hair and tawny eyes
The kind of eyes that hypnotize me through
You hypnotize me through

And I ran
I ran so far away
I just ran
I ran all night and day
I couldn't get away

A cloud appears above your head
A beam of light comes shining down on you
Shining down on you

The cloud is moving nearer still
Aurora Borealis comes in view
Aurora comes in view

And I ran
I ran so far away
I just ran
I ran all night and day
I couldn't get away

Reached out a hand to touch your face
You're slowly disappearing from my view
Disappearing from my view

Reached out a hand to try again
I'm floating in a beam of light with you
A beam of light with you

And I ran
I ran so far away
I just ran
I ran all night and day

And I ran
I ran so far away
I just ran
I ran all night and day"
1	A Flock of Seagulls	"She's an automatic
He's a cosmic man
They will get together
They should know better by now

The meet in a garden
Down in old japan
Where young love's forbidden
You've got to keep it hidden

Modern love is automatic
Modern love is automatic

Modern love is automatic
Modern love is automatic

They locked him away
For twenty years they say
You won't see him again
But I know diff'rent

Modern love is automatic
Modern love is automatic
Modern love is automatic
Modern love is automatic
Modern love is automatic
Modern love is
Automatic
Automatic
Automatic
Automatic
Automatic
Automatic
Automatic"
2	A Flock of Seagulls	"Ultraviolet
Radio light
To your solar system
On a beam of light

This is telecommunication
Telecommunication
Telecommunication
Telecommunication

Laser beam
Coming through the night
To my t.V. Screen
To my color eye

Telecommunication
Telecommunication
Telecommunication
Telecommunication

Video screen
Silver page
With a new calibration
For the nuclear age

This is telecommunication
Telecommunication
Telecommunication
Telecommunication

Telecommunication
Telecommunication

Telecommunication
Telecommunication

Telecommunication
Telecommunication
Telecommunication
Telecommunication

Telecommunication
Telecommunication
Telecommunication
Telecommunication"
3	A Flock of Seagulls	"I saw your eyes
And you made me smile
For a little while
I was falling in love

I saw your eyes
And they touched my mind
Although it took a while
I was falling in love
I was falling in love

I saw your eyes (I saw your eyes, I saw your eyes)
And you made me cry (and you made me cry, and you made me cry)
And for a little while (a little while, a little while)
I was falling in love

I was falling in love
Falling in love
Falling in love
Falling in love
Falling in love"
4	A Flock of Seagulls	"It's not the way you look
It's not the way that you smile 
Although there's something to them
It's not the way you have your hair
It's not that certain smile
It could be that with you

If I had a photograph of you
It's something to remind me
I wouldn't spend my life just wishing

It's not the make up and
It's not the way that you dance
It's not the evening sky
It's more the way your eyes are laughing as they glance
Across the great divide

If I had a photograph of you
It's something to remind me
I wouldn't spend my life just wishing

It's not the things you say
It's not the things you do
It must be something more
And if I feel this way for so long
Tell me is it all for nothing
Just don't walk out the door

If I had a photograph of you
It's something to remind me
I wouldn't spend my life just wishing"
5	A Flock of Seagulls	"You keep stopping when you could be walking
Looking at the pictures on the wall
You keep quiet when you should be talking
You just don't make any sense at all
 
Remember when you were much younger
And you were lying in your bed
Among the satin sheets and pillows
Your mother there to ease your head

Mama Mama I keep having nightmares
Mama Mama Mama am I ill?
Mama Mama Mama hold me tightly
Mama Mama Mama do you love me still?

But now it's different you are older
There's no one here to hold your hand
Your Mama's gone beyond the veil,joan
There's no one left who understands

Mama Mama I keep having nightmares
Mama Mama Mama am I ill?
Mama Mama Mama hold me tighter
Mama Mama do you love me still?

Do you love me?
Do you love me?

So your left standing in the corner
You keep your face turned to the wall
A fading dream A fading memory
A shooting star that had to fall

Mama Mama I keep having nightmares
Mama Mama Mama am I ill?
Mama Mama Mama hold me tighter
Mama Mama do you love me still?
Do you love me?
Mama Mama do you love me still?
Do you love me?
Mama Mama do you love me still?
Do you love me?
Mama?"
6	A Flock of Seagulls	D-N-A
7	A Flock of Seagulls	"I've got information
'something you should hear
Electrical motion
Is in the atmosphere

Something in the air has
Given me a scare
Electric in my fingers
Electric in my hair

Electrics ev'ry where
Electrics ev'ry where

Thinking of the future
Living in the past
Electric interference
Disturbance from the blast

Electrics ev'ry where
Electrics ev'ry where

Electrics ev'ry where
Electrics ev'ry where
Electrics ev'ry where
Electrics ev'ry where"
8	A Flock of Seagulls	"Hold on hold on

I'm trying to transfer affection
Trying to feel factor four
Trying to change my direction
To go where I was once before

Don't try to tell me now that I'm out here on my own
And there's no way to carry on
Don't try to tell me that there's nothing left to hide
Nothing inside

I'm trying to break all connections
Burning a hole in my heart
Trying to transfer affection
Is starting to tear me apart

Don't try to tell me now that I'm out here on my own
And there's no way to carry on
Don't try to tell me that there's nothing left to hide
Nothing inside

Don't try to tell me now that I'm out here on my own
And there's no way to carry on
Don't try to tell me that there's nothing left to hide
Nothing inside

I'm tired but then on reflection
It's so hard to open my eyes
To try reaching out for affection
It's so hard to break the disguise

Hold on hold on"
9	A Flock of Seagulls	"You never give your heart to a stranger
Or tell your secrets to a friend
You'll put your heart in mortal danger
They all desert you in the end

The more you live the more you love
Or so they say
The more you love the more you throw away

They say that nothing lasts forever
And even true love turns to pain
Don't trust your feelings to a stranger
Don't want to go through this again

The more you live the more you love
Or so they say
The more you love the more you throw away

The more you live the more you love
Or so they say
The more you love the more you throw away

Don't never give your heart to a stranger
Don't ever think that you can go on
You'll put your heart in mortal danger
Turn around and love is gone

The more you live the more you love
Or so they say
The more you love the more you throw away

The more you live the more you love
Or so they say
The more you love the more you throw away

The more you live the more you love
Or so they say
The more you love the more you throw away"
10	A Flock of Seagulls	"Man made machines make music for the man
Now machines make music while the man makes plans
A second generation a generation lost
While the man prepares for the holocaust

Man made machines to control the days
Now machines control while the man obeys
A second generation a generation lost
While machines prepare for the holocaust"
