	artist	lyrics
0	Black Flag	"Jealous cowards try to control
Rise above, we're gonna rise above
They distort what we say
Rise above, we're gonna rise above
Try and stop what we do
Rise above, we're gonna rise above
When they can't do it themselves
Rise above, we're gonna rise above

We are tired of your abuse
Try to stop us, it's no use

Society's arms of control
Rise above, we're gonna rise above
Think they're smart, can't think for themselves
Rise above, we're gonna rise above
Laugh at us behind our backs
Rise above, we're gonna rise above
I find satisfaction in what they lack
Rise above, we're gonna rise above

We are tired of your abuse
Try to stop us, but it's no use

We are tired of your abuse
Try to stop us, but it's no use

We're born with a chance
Rise above, we're gonna rise above
I am gonna have my chance 
Rise above, we're gonna rise above
We are born with a chance
Rise above, we're gonna rise above
And I am gonna have my chance 
Rise above, we're gonna rise above

We are tired of your abuse
Try to stop us, it's no use
Rise above
Rise above
Rise above
We're gonna rise above
We're gonna rise above
We're gonna rise above"
1	Black Flag	"Thirsty and miserable
You drop to the floor
You drink til you cant
Even see any more

Thirsty and miserable
Always wanting more
Thirsty and miserable
Always wanting more

My brother wants a ride
To the liquor store
You pity him
For what he wants it for

Thirsty and miserable
Always wanting more
Thirsty and miserable
Always wanting more

It's 1:30
And were all getting nervous
The store closes at two
There's not enough to last us

Thirsty and miserable
Always wanting more
Thirsty and miserable
Always wanting more"
2	Black Flag	"I'm about
To have a nervous breakdown
My head really hurts
If I don't find a way out of here

I'm gonna go berserk 'cause
I'm crazy and I'm hurt
Head on my shoulders
It's going berserk I hear the same old talk talk talk

The same old lines
Don't do me that today,
yeah If you know what's good for you
You'll get out of my way

'Cause I'm crazy and I'm hurt
Head on my shoulders
Going berserk
I won't apologize

For acting outta line
You see the way I am
You leave any time you can cause
I'm crazy and I'm hurt

Head on my shoulders
Going berserk
Crazy! Crazy! Crazy! Crazy!
I don't care what you fuckin' do

I don't care what you fuckin' say
I'm so sick of everything
I just want to die!"
3	Black Flag	"TV party tonight
TV party tonight
TV party tonight
TV party tonight!

We're gonna have a TV party tonight
All right!
We're gonna have a TV party, all right
Tonight!

We've got nothing better to do
Than watch TV and have a couple of brews

Everybody's gonna hang out here tonight
All right!
We'll pass out on the couch, all right
Tonight!

We've got nothing better to do
Than watch TV and have a couple of brews

Don't talk about anything else
We don't want to know
We're dedicated to our favorite shows

That's incredible!
Hill Street Blues!
Dallas!
Fridays!

We sit glued to the TV set all night
And every night
Why go into the outside world at all
It's such a fright

We've got nothing better to do
Than watch TV and have a couple of brews

TV news shows
What it's like out there
It's a scare
You can go out if you want
We wouldn't dare

We've got nothing better to do
Than watch TV and have a couple of brews

Don't talk about anything else
We don't want to know
We're dedicated to our favorite shows

Saturday Night Live!
Monday Night Football!
Jeffersons!
Vegas!

I wouldn't be without my TV for a day
Or even a minute
Don't even bother to use my brain any more
There's nothing left in it

We've got nothing better to do
Than watch TV and have a couple of brews

Hey, wait a minute, my TV doesn't work!
It's broken!
What are we gonna do tonight, this isn't fair!
We're hurtin'

We've got nothing left to do
Left with no TV just a couple of brews

What are we gonna talk about?
I don't know!
We're gonna miss our favorite shows!

No That's Incredible!
No Monday Night Football!
No Jeffersons!
No Friday!

No TV party tonight!"
4	Black Flag	"Jealous cowards try to control
Rise above, we're gonna rise above
They distort what we say
Rise above, we're gonna rise above
Try and stop what we do
Rise above, we're gonna rise above
When they can't do it themselves
Rise above, we're gonna rise above

We are tired of your abuse
Try to stop us, it's no use

Society's arms of control
Rise above, we're gonna rise above
Think they're smart, can't think for themselves
Rise above, we're gonna rise above
Laugh at us behind our backs
Rise above, we're gonna rise above
I find satisfaction in what they lack
Rise above, we're gonna rise above

We are tired of your abuse
Try to stop us, but it's no use

We are tired of your abuse
Try to stop us, but it's no use

We're born with a chance
Rise above, we're gonna rise above
I am gonna have my chance 
Rise above, we're gonna rise above
We are born with a chance
Rise above, we're gonna rise above
And I am gonna have my chance 
Rise above, we're gonna rise above

We are tired of your abuse
Try to stop us, it's no use
Rise above
Rise above
Rise above
We're gonna rise above
We're gonna rise above
We're gonna rise above"
5	Black Flag	"TV party tonight
TV party tonight
TV party tonight
TV party tonight!

We're gonna have a TV party tonight
All right!
We're gonna have a TV party, all right
Tonight!

We've got nothing better to do
Than watch TV and have a couple of brews

Everybody's gonna hang out here tonight
All right!
We'll pass out on the couch, all right
Tonight!

We've got nothing better to do
Than watch TV and have a couple of brews

Don't talk about anything else
We don't want to know
We're dedicated to our favorite shows

That's incredible!
Hill Street Blues!
Dallas!
Fridays!

We sit glued to the TV set all night
And every night
Why go into the outside world at all
It's such a fright

We've got nothing better to do
Than watch TV and have a couple of brews

TV news shows
What it's like out there
It's a scare
You can go out if you want
We wouldn't dare

We've got nothing better to do
Than watch TV and have a couple of brews

Don't talk about anything else
We don't want to know
We're dedicated to our favorite shows

Saturday Night Live!
Monday Night Football!
Jeffersons!
Vegas!

I wouldn't be without my TV for a day
Or even a minute
Don't even bother to use my brain any more
There's nothing left in it

We've got nothing better to do
Than watch TV and have a couple of brews

Hey, wait a minute, my TV doesn't work!
It's broken!
What are we gonna do tonight, this isn't fair!
We're hurtin'

We've got nothing left to do
Left with no TV just a couple of brews

What are we gonna talk about?
I don't know!
We're gonna miss our favorite shows!

No That's Incredible!
No Monday Night Football!
No Jeffersons!
No Friday!

No TV party tonight!"
6	Black Flag	I was so wasted I was a hippie I was a burnout I was a dropout I was out of my head I was a surfer I had a skateboard I was so heavy man, I lived on the strand I was so wasted I was so fucked up I was so messed up I was so screwed up I was out of my head I was so jacked up I was so drunk up I was so knocked out, I was out of my head I was so wasted I was wasted
7	Black Flag	"Someday I'll feel no pain 
Someday I won't have a brain 
They'll take away the part that hurts and let the rest remain 

Fix me 
Fix my head 
Fix me please, I don't want to be dead Someday 

We'll all be rich 
Someday I won't listen to you bitch I'll turn up the volume 
And you can hear all the shit we play just for you 

Fix me 
Fix my head 
Fix me please, I don't want to be dead 

Someday I'll feel no pain 
Someday I won't have a brain 
They'll take away the part that hurts and let the rest remain 

Fix me 
Fix my head 
Fix me please
I don't want to be dead Fix it!"
8	Black Flag	You're jealous again No, she's just a friend Why can't I do anything without being yelled at? Always on the phone Never leave me alone Why don't you just tell me what you want from me Said I'll never leave you, No I'll never leave you It's not the end, No it's not the end I won't beat you up But I won't push you around Because if I do that the cops would grab me for doin' it I want to go and have some fun Go where the action is Who the hell are you to tell me who my friends are Said I'll never leave you, No I'll never leave you It's not the end, No it's not the end Said I'll never leave you, No I'll never leave you It's not the end, No it's not the end You're jealous again You're jealous again You're jealous again and again and again and again and again and again and again
9	Black Flag	"Gimme gimme gimme
I need some more
Gimme gimme gimme
Don't ask what for

One-two-three-four!

Standing here like a loaded gun
Waiting to go off
I've got nothing to do but 
Shoot my mouth off

Gimme gimme gimme
Gimme some more
Gimme gimme gimme
Don't ask what for

I'm gonna go out
Get something for my head
If I keep on doing this, I'm gonna end up dead

So, gimme gimme gimme
Gimme some more
Gimme gimme gimme
Don't ask what for

I know the world's got problems
I've got problems of my own
Not the kind that can be solved with an atom bomb

So, gimme gimme gimme
Gimme some more
Gimme gimme gimme
Don't ask what for

Gimme gimme gimme
I need some more
Gimme gimme gimme
Don't ask what for

One-two-three-four!

Standing here like a loaded gun
Waiting to go off
I've got nothing to do but 
Shoot my mouth off

So, gimme gimme gimme
Gimme some more
Gimme gimme gimme
Don't ask what for"
