	artist	title	lyrics
0	Circle Jerks	What’s Your Problem	"Girls hate guys
because of the things we try
guys hate girls
because of the things they say
behind our backs while we're away

tell me what's your problem?
what's inside of you?
tell me what's your problem?
what you're gonna do?

I got a date
I can't be late
If she don't show up
I'll masturbate"
1	Circle Jerks	Wild in the Streets	"Wild,wild,wild,wild
Wild in the streets
Wild in the streets
Wild in the streets
Wild in the streets

In the heat of the summer
Better call out a plumber
Turn on the steam pipe
Cool me off
With your big crime fighters
And your newspaper writers
Still need a drugstore
To cure my buzz

Wild in the streets, running, running
Wild in the streets, running, running
Wild in the streets, running, running
Wild in the streets

'64 valiant,hand full of valiums
Couple of beers really do me right
You better believe us,better trust us 
Teenage jive, walking wreck

Wild,wild,wild,running wild
Wild in the streets, running, running
Wild in the streets, running, running
Wild in the streets, running, running
Wild in the streets

Got a gang called the wolves
You have to choose
Play with the boys
You're bound to lose
A bottle in one hand
A can in the other
Don't fool around 'cause they're real
Mean mothers

Wild,wild,wild,wild
Wild running, running
Wild
Mrs. America, how's your favorite son?
Do you care just what he's done?
No

Wild in the streets, running, running
Wild in the streets, running, running
Wild in the streets, running, running
Wild in the streets, running, running

Wild in the streets, we're running, running
Wild in the streets, we're running, running
Wild in the streets, we're running, running
Wild in the streets"
2	Circle Jerks	Red Tape	"Red tape
I can see can't you see?
Red tape
Do in to you do in to me

Red tape
Bureaucracy and bourgeoisie
Red tape
Killing you killing me

Tax this
Tax that
Tax this
Tax that

No more red tape
I can see can't you see
Red tape
Do in to you do into me

Red tape
Washington DC
Red tape
Killing you killing me

Tax this
Tax that
Tax this
Tax that

No more red tape
Red tape
I can see can't you see
Red tape
Do in to you do in to me
Red tape
Washinton DC
Red tape
Killing you killing me

Tax this
Tax that
Tax this
Tax that

No more red tape!"
3	Circle Jerks	Deny Everything	"Innocent until I'm proven guilty 
Deny everything, deny everything
I'm being framed, it's all a set-up 
Deny everything, deny everything
I'm just a spoke in the wheel, just a part of the puzzle 
A part of the game, I'm being framed
Innocent 'til I'm proven guilty 
Deny everything, deny everything Deny everything, deny everything"
5	Circle Jerks	Letter Bomb	"Tired of being bossed around
Getting the run around

Sweep your floors
Empty your trash
You're the one who makes the cash

Tired of being a puissant
9 to 5
Open my letter
You won't be alive

Here's a present just for you
When you'll open it
You'll be through

Sit behind your desk
Act like a king
Treat me like a human being

Give me the worst jobs
I'm getting mad
When you're dead
I'll be glad

Here's a present just for you
When you'll open it
You'll be through

Plastic explosive
On your letter
You'd be better off dead
Hope the building crumbles
On your head
Die! Die!"
6	Circle Jerks	Stars and Stripes	"What they did,past or present
Got us in this situation
Predicament
No where to run
Everybody's building bombs

No more housewives;
""Days of Our Lives"",
Television, Disneyland,
Basketball or stars and stripes

Their chairman's on his death bed
Our president's popularity is down
An epileptic called a colonel
Presses a button
And its all knocked down

No more housewives;
""Days of Our Lives"",
Television, Disneyland,
Basketball or stars and stripes

Hahaha,
You're all gonna die,
And you voted for that guy

Science, modern technology,
Digs your grave
Care of Moscow and DC,
Votes you never gave

No more housewives;
""Days of Our Lives"",
Television,Disneyland,
Basketball or stars and stripes

Or stars and stripes,
Or stars and stripes,
Or stars and stripes

My country 'tis of thee
Sweet land of liberty"
7	Circle Jerks	I Don't	"I don't smoke, I don't drink
I don't never have no fun anymore you see
I don't lose any sleep
Worrying about the state of the economy

'Cause the world is turning slowly
But I can't find the time to do anything
If the rest are sharing something
Then I'm just a lonely minority
I don't work I'm a blob
No I can't wake up and I won't

I don't cook I don't clean
I don't have the energy for the scene
And I don't got no car
I don't worry 'bout the price of gasoline

'Cause the world is turning slowly
I can't find the time to do nothing
If the rest are sharing something
I am just a lonely minority
I don't work, I'm a blob 
no I can't wake up and I won't

News is coming on ( I'm watching Three's Company)
I can't get no girls (they don't know how to talk to me)
Get my washing done (been wearing the same clothes for a week) YICH!
Gotta get up early (set the alarm for three)
In the afternoon (you'll find me sitting by the t.v.)
I'm really cool somebody please (turn up the heat)

I don't smoke, I don't drink
I don't never have no fun anymore you see
I don't lose any sleep
Worrying about the state of the economy

'Cause the world is turning slowly
I can't find the time to do nothing
If the rest are sharing something
then I am just a lonely minority
I don't work I'm a blob
No I can't wake up and I won't"
8	Circle Jerks	Back Against the Wall	"You yell out in defiance
You're backed up against the wall
They're up there clutching their guns and
It makes you feel real small

So you can cuss,
Spit,
Throw bottles
Broken glass
But it all ends up with handcuffs on you hands

You run around and spray paint
Graffiti on everybody's wall
You think that's bitchin' man
That ain't nothing at all!

So you can cuss,spit,throw bottles
Broken glass
But it ends up with a swift kick to your ass"
9	Circle Jerks	Behind the Door	"Mister,give me the key
Point me to the stairs
I don't know what waits for me in

Room 13
Room 13

Dim lit stairway
Stains on the floor
Looking for 13
What's behind the door?

Room 13
Room 13

Prostitutes, hypes and thungs
Meet me on the way
Bare ceilings;just blank
Walls blank walls,

That's okay
Prostitutes,hypes & thugs
Meet me on the way
Empty bottles,spots of blood

That's cool bro,
That's cool,'cause
What waits for me?
A whore,a bullet a thug?

That's okay,
Room 13
That's okay,
Room 13

Turn around
I'll walk away
Turn around
I didn't want to stay there anyway"
10	Circle Jerks	I Just Want Some Skank	"Empty frame on the wall
Cat and mouse when you don't call
All I do is think of her
TV
Screens picture's blurred

So take it away!
Take it away!

Every night the scene is set
I've got to drink to forget
I cannot incur this debt
Where's the gun?
Here's my head!

Let's go to the Hong Kong
Breaking glass at madame Wong's.
Let's go buy a pint of booze
Getting drunk getting loose

[Chorus]
I just want some skank! [Repeat: x4]

Passing flyers at the troub
Seven nights seven 'ludes
What's the deal with this band?
Let's go roll some fields,
Man

[Chorus]

Every night would be so great
I'd take you home to meet mom & dad
And they'll be so glad
They won't think their boy's a fag
Then they'll go upstairs and go to bed"
11	Circle Jerks	Beverly Hills	"Beverly Hills,
Century city
Everything's so nice and pretty
All the people look the same
Don't they know they're so damn lame

There she goes
Three piece suit
Spandex pants
Cowboy boots

I don't know what I'm gonna do
I don't know what I'm gonna do
Maybe I'll have to move from

Beverly Hills,
Century city
Everything's so nice and pretty
All the people look the same
Don't they know they're so damn lame

There she goes
Three piece suit
Spandex pants
Fiorucci too
Beverly hills,
Century city!"
12	Circle Jerks	Anxious Boy	"I'm an anxious boy happiness eludes me
In my reach. Poof! then it's gone
Dust my shoulders shaking knees
Scratch this itch that I can't reach
I wanna belong
I wanna be loved; jump up and kiss me

With my tongue planted firmly to the side of mouth
Took some days to sort things out
They're dropping hints of uneasiness
Filled with hostility and hatred

I wanna belong
I wanna be loved
Jump up and kiss me
If you
If you
Kiss me
If you could
If you
If you
Kiss me
If you could

Sand me down I'm feeling rough
Turn me off; I've had enough
I'm a nervous guy pleasure escapes me
In my grasp. Swoosh! then it's gone
Twitching hands sack of bees
Scratch this itch that I can't reach
I wanna belong
I wanna be loved
Jump up and kiss me
If you
If you
Kiss me
If you could
If you
If you kiss me

Bit part actors one act town
Press these buttons knock it down
I've lost your faith
I need your trust
Far as I'm concerned your name is dust"
13	Circle Jerks	Paid Vacation	"I hope you're having fun
Where's your uniform?
Where's your gun?
Better rub up that suntan oil
Cause you'll be fighting in the desert

It's not, Vietnam
Just another oil company scam

Salute that flag of uncle Sam
Get your money out place your bets
It's Afghanistan!
Fix baionets, check grenades
Got enough bullets
Got enough rounds to wipe out this place?
Were the infantry and cavalry
Parachutes fill the sky, bodies burn and people die"
15	Circle Jerks	I Wanna Destroy You	"I wanna destroy you
I wanna destroy you
I feel it coming on again
Just like it did before
It'll feed your pride with boredom

I feel it coming on again, just like it did before
They feed your pride with boredom, and they lead you off to war
The way you treat each other, makes me feel ill
And if you want to fight them, then you're dying to get killed

I wanna destroy you
I wanna destroy you

A pox upon the media and everything you read
They'll tell you your opinions and they're very good indeed

I wanna destroy you
I wanna destroy you

And when I have destroyed you, I'll come picking at your bones
You won't have a single atom left to call your own

I wanna destroy you
I wanna destroy you
I wanna destroy you
I wanna destroy you
Destroy you
Destroy you
Destroy you
Destroy you"
16	Circle Jerks	Destroy You	"I wanna destroy you
I wanna destroy you
I feel it coming on again
Just like it did before
It'll feed your pride with boredom

I feel it coming on again, just like it did before
They feed your pride with boredom, and they lead you off to war
The way you treat each other, makes me feel ill
And if you want to fight them, then you're dying to get killed

I wanna destroy you
I wanna destroy you

A pox upon the media and everything you read
They'll tell you your opinions and they're very good indeed

I wanna destroy you
I wanna destroy you

And when I have destroyed you, I'll come picking at your bones
You won't have a single atom left to call your own

I wanna destroy you
I wanna destroy you
I wanna destroy you
I wanna destroy you
Destroy you
Destroy you
Destroy you
Destroy you"
18	Circle Jerks	Trapped	"Trapped, I'm trapped
Trapped, I'm trapped
Trapped, I'm trapped
Trapped, I'm trapped

What did I do to deserve this?
I've painted myself into a corner
What did I do to deserve this?
Painted myself into a corner
No windows,doors or a ladder

Trapped, I'm trapped
Trapped, I'm trapped

What did I do to deserve this?
Running down a black alley way
What did I do to deserve this?
Trash cans,chain link fence line the way

I'm trapped
I'm trapped
Trapped, I'm trapped
Trapped, I'm trapped

What did I do to deserve this?
Dug a hole and there's nowhere to go
What did I do to deserve this?
Mental rut,I'm going nuts!

Trapped, I'm trapped
Trapped, I'm trapped"
19	Circle Jerks	Operation	"I went to see a rabbi
But despite his advise
I want an operation
I will not father life

Operation,
Operation
Snip & tie,
Snip & tie

They send me to a preacher
A really toughtful guy
He said my idea's crazy
I shouldn't even try

This operation,
Operation
Snip & tie,
Snip & tie

But I've just seen a surgeon
And with a knife he cut
I cannot bring you children
This world is such a rut

Operation,
Operation
Snip & tie,
Snip & tie

I had an operation
A statement of our times
They tied my balls together
What's insides not alive"
20	Circle Jerks	World Up My Ass	"I've got the world up my ass
And I'm gonna move fast
Be the first
Won't be the last
I've got the world up my ass

Society is burning me up
Take a bite,
Spit it out
Take their rules
Rip 'em up,
Tear them down

Twisted mind,
Withered brain
You know I'm going insane
I just tell them to get back
When they tell me how to act
I've got the world up my ass

You know I've got the world up my ass"
21	Circle Jerks	Wasted	"I was so wasted
I was so wasted
I was wasted
I was a hippie
I was a burnout
I was a dropout
You know I was out of my head
I was a surfer
I had a skateboard
I was so heavy man
I lived on the strand

I was so wasted,
I was wasted

I was so fucked up
I was so screwed up
I was so jacked up
I couldn't get any higher than that
I was so pilled up
I was so nebbed out
I was so jacked up
I was out of my head

I was so wasted
I was so wasted"
